block,round,task,trial_duration,delay,audioFile,number,stimulus,type,response_1,rt_1,response_2,rt_2
0.0,0.0,tone_number_task,1057.0,907.0,tones/880hz_short.mp3,33,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,843.0,j,1082.0
0.0,1.0,tone_number_task,1145.0,995.0,tones/880hz_short.mp3,64,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,691.0,k,827.0
0.0,2.0,tone_number_task,165.0,15.0,tones/440hz_short.mp3,29,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,711.0,j,1860.0
0.0,3.0,tone_number_task,830.0,680.0,tones/440hz_short.mp3,31,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,970.0,j,1261.0
0.0,4.0,tone_number_task,1147.0,997.0,tones/880hz_short.mp3,50,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,501.0,k,649.0
0.0,6.0,tone_number_task,793.0,643.0,tones/440hz_short.mp3,39,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,547.0,j,834.0
0.0,7.0,tone_number_task,315.0,165.0,tones/880hz_short.mp3,23,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,905.0,j,1308.0
0.0,8.0,tone_number_task,955.0,805.0,tones/440hz_short.mp3,50,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,573.0,k,571.0
0.0,9.0,tone_number_task,492.0,342.0,tones/440hz_short.mp3,29,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,603.0,j,721.0
0.0,10.0,tone_number_task,1139.0,989.0,tones/440hz_short.mp3,27,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,685.0,j,695.0
0.0,11.0,tone_number_task,940.0,790.0,tones/440hz_short.mp3,28,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,483.0,j,695.0
0.0,12.0,tone_number_task,986.0,836.0,tones/440hz_short.mp3,23,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,637.0,j,552.0
0.0,13.0,tone_number_task,942.0,792.0,tones/880hz_short.mp3,53,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,629.0,k,670.0
0.0,14.0,tone_number_task,931.0,781.0,tones/880hz_short.mp3,62,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,435.0,k,675.0
0.0,15.0,tone_number_task,476.0,326.0,tones/880hz_short.mp3,23,tones/880hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,s,464.0,j,651.0
0.0,16.0,tone_number_task,967.0,817.0,tones/440hz_short.mp3,35,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,515.0,j,722.0
0.0,17.0,tone_number_task,379.0,229.0,tones/880hz_short.mp3,29,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1152.0,j,1365.0
0.0,18.0,tone_number_task,802.0,652.0,tones/440hz_short.mp3,43,tones/440hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,a,685.0,k,640.0
0.0,19.0,tone_number_task,1144.0,994.0,tones/440hz_short.mp3,62,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,688.0,k,766.0
0.0,20.0,tone_number_task,440.0,290.0,tones/880hz_short.mp3,36,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,550.0,j,791.0
0.0,21.0,tone_number_task,1011.0,861.0,tones/880hz_short.mp3,31,tones/880hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,s,979.0,j,701.0
0.0,22.0,tone_number_task,651.0,501.0,tones/440hz_short.mp3,56,tones/440hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,a,547.0,k,726.0
0.0,23.0,tone_number_task,1118.0,968.0,tones/440hz_short.mp3,62,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,517.0,k,731.0
0.0,24.0,tone_number_task,722.0,572.0,tones/440hz_short.mp3,67,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,763.0,k,895.0
0.0,25.0,tone_number_task,335.0,185.0,tones/440hz_short.mp3,47,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,446.0,k,1185.0
0.0,26.0,tone_number_task,1124.0,974.0,tones/440hz_short.mp3,64,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,472.0,k,566.0
0.0,28.0,tone_number_task,773.0,623.0,tones/880hz_short.mp3,22,tones/880hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,s,739.0,j,701.0
0.0,29.0,tone_number_task,392.0,242.0,tones/440hz_short.mp3,67,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,1027.0,k,1535.0
0.0,30.0,tone_number_task,725.0,575.0,tones/880hz_short.mp3,35,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,754.0,j,688.0
0.0,31.0,tone_number_task,740.0,590.0,tones/880hz_short.mp3,59,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,581.0,k,992.0
0.0,32.0,tone_number_task,344.0,194.0,tones/880hz_short.mp3,29,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,797.0,j,1118.0
0.0,33.0,tone_number_task,243.0,93.0,tones/440hz_short.mp3,35,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,745.0,j,1547.0
0.0,34.0,tone_number_task,916.0,766.0,tones/440hz_short.mp3,50,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,520.0,k,625.0
0.0,35.0,tone_number_task,1107.0,957.0,tones/880hz_short.mp3,48,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,597.0,k,842.0
0.0,36.0,tone_number_task,636.0,486.0,tones/880hz_short.mp3,57,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,810.0,k,1198.0
0.0,38.0,tone_number_task,972.0,822.0,tones/880hz_short.mp3,21,tones/880hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,s,917.0,j,685.0
0.0,39.0,tone_number_task,1024.0,874.0,tones/440hz_short.mp3,66,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,752.0,k,625.0
1.0,0.0,tone_number_task,239.0,89.0,tones/440hz_short.mp3,52,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,536.0,k,837.0
1.0,1.0,tone_number_task,312.0,162.0,tones/440hz_short.mp3,67,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,530.0,k,708.0
1.0,2.0,tone_number_task,801.0,651.0,tones/880hz_short.mp3,55,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,523.0,k,569.0
1.0,3.0,tone_number_task,345.0,195.0,tones/880hz_short.mp3,29,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,541.0,j,836.0
1.0,4.0,tone_number_task,314.0,164.0,tones/440hz_short.mp3,50,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,830.0,k,1041.0
1.0,5.0,tone_number_task,735.0,585.0,tones/880hz_short.mp3,62,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1058.0,k,912.0
1.0,6.0,tone_number_task,781.0,631.0,tones/440hz_short.mp3,68,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,576.0,k,520.0
1.0,7.0,tone_number_task,786.0,636.0,tones/440hz_short.mp3,41,tones/440hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,a,653.0,j,1000.0
1.0,8.0,tone_number_task,443.0,293.0,tones/440hz_short.mp3,48,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,659.0,k,807.0
1.0,9.0,tone_number_task,1047.0,897.0,tones/440hz_short.mp3,54,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,464.0,k,565.0
