block,round,task,trial_duration,delay,audioFile,number,stimulus,type,response_1,rt_1,response_2,rt_2
0.0,0.0,tone_number_task,648.0,498.0,tones/880hz_short.mp3,22,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,702.0,j,1068.0
0.0,1.0,tone_number_task,448.0,298.0,tones/880hz_short.mp3,23,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1088.0,j,1598.0
0.0,2.0,tone_number_task,524.0,374.0,tones/880hz_short.mp3,40,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,818.0,j,1319.0
0.0,3.0,tone_number_task,769.0,619.0,tones/880hz_short.mp3,67,tones/880hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,s,691.0,k,1324.0
0.0,4.0,tone_number_task,1063.0,913.0,tones/880hz_short.mp3,30,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,640.0,j,769.0
0.0,7.0,tone_number_task,926.0,776.0,tones/440hz_short.mp3,32,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,s,1577.0,j,1097.0
0.0,9.0,tone_number_task,562.0,412.0,tones/880hz_short.mp3,64,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,977.0,k,1155.0
0.0,11.0,tone_number_task,686.0,536.0,tones/440hz_short.mp3,37,tones/440hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,a,611.0,j,743.0
0.0,12.0,tone_number_task,1076.0,926.0,tones/440hz_short.mp3,43,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,571.0,j,728.0
0.0,13.0,tone_number_task,1123.0,973.0,tones/440hz_short.mp3,41,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,659.0,j,877.0
