block,round,task,trial_duration,delay,audioFile,number,stimulus,type,response_1,rt_1,response_2,rt_2
0.0,16.0,tone_number_task,220.0,70.0,tones/440hz_short.mp3,41,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,s,644.0,j,1504.0
0.0,27.0,tone_number_task,790.0,640.0,tones/440hz_short.mp3,46,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,1166.0,k,993.0
0.0,29.0,tone_number_task,1110.0,960.0,tones/440hz_short.mp3,57,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,621.0,k,590.0
0.0,31.0,tone_number_task,886.0,736.0,tones/440hz_short.mp3,41,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,2008.0,j,1746.0
0.0,33.0,tone_number_task,268.0,118.0,tones/440hz_short.mp3,34,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,898.0,j,1259.0
0.0,34.0,tone_number_task,317.0,167.0,tones/880hz_short.mp3,63,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,510.0,k,681.0
1.0,1.0,tone_number_task,287.0,137.0,tones/880hz_short.mp3,51,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,819.0,k,1466.0
1.0,7.0,tone_number_task,318.0,168.0,tones/440hz_short.mp3,31,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,918.0,j,1266.0
1.0,8.0,tone_number_task,486.0,336.0,tones/440hz_short.mp3,24,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,678.0,j,1470.0
1.0,11.0,tone_number_task,1158.0,1008.0,tones/880hz_short.mp3,30,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1196.0,j,822.0
1.0,12.0,tone_number_task,588.0,438.0,tones/880hz_short.mp3,61,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,872.0,k,856.0
1.0,15.0,tone_number_task,818.0,668.0,tones/880hz_short.mp3,33,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1249.0,j,1081.0
1.0,19.0,tone_number_task,835.0,685.0,tones/880hz_short.mp3,48,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1305.0,k,1181.0
1.0,20.0,tone_number_task,1124.0,974.0,tones/440hz_short.mp3,38,tones/440hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,a,1069.0,j,1132.0
1.0,24.0,tone_number_task,888.0,738.0,tones/880hz_short.mp3,30,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1475.0,j,1275.0
1.0,26.0,tone_number_task,1041.0,891.0,tones/880hz_short.mp3,50,tones/880hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,s,600.0,k,576.0
1.0,27.0,tone_number_task,1094.0,944.0,tones/440hz_short.mp3,68,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,1416.0,k,1079.0
1.0,28.0,tone_number_task,514.0,364.0,tones/880hz_short.mp3,64,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,960.0,k,1610.0
1.0,29.0,tone_number_task,880.0,730.0,tones/440hz_short.mp3,58,tones/440hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,a,840.0,k,635.0
1.0,30.0,tone_number_task,478.0,328.0,tones/880hz_short.mp3,33,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1503.0,j,1606.0
1.0,33.0,tone_number_task,1049.0,899.0,tones/440hz_short.mp3,55,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,1278.0,k,1081.0
1.0,34.0,tone_number_task,737.0,587.0,tones/440hz_short.mp3,44,tones/440hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,a,600.0,j,1066.0
1.0,35.0,tone_number_task,169.0,19.0,tones/880hz_short.mp3,33,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,504.0,j,936.0
1.0,36.0,tone_number_task,705.0,555.0,tones/440hz_short.mp3,22,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,940.0,j,935.0
1.0,37.0,tone_number_task,630.0,480.0,tones/880hz_short.mp3,53,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,756.0,k,707.0
1.0,38.0,tone_number_task,359.0,209.0,tones/880hz_short.mp3,53,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,609.0,k,756.0
1.0,39.0,tone_number_task,853.0,703.0,tones/440hz_short.mp3,68,tones/440hz_short.mp3,tone_number_task+tone_number_task_remaining_after_delay+empty_block,a,829.0,k,555.0
2.0,7.0,tone_number_task,1077.0,927.0,tones/440hz_short.mp3,cincuenta y seis,tones/440hz_short.mp3,tone_number_task+delay_block+tone_number_task_remaining_before_delay+empty_block,a,819.0,k,1275.0
2.0,11.0,tone_number_task,778.0,628.0,tones/880hz_short.mp3,sesenta y seis,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1538.0,k,2123.0
2.0,18.0,tone_number_task,622.0,472.0,tones/880hz_short.mp3,treinta y uno,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1143.0,j,1638.0
2.0,22.0,tone_number_task,1071.0,921.0,tones/880hz_short.mp3,veintiocho,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1225.0,j,961.0
2.0,24.0,tone_number_task,917.0,767.0,tones/440hz_short.mp3,veintiseis,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,1451.0,j,1762.0
2.0,25.0,tone_number_task,591.0,441.0,tones/880hz_short.mp3,veintiuno,tones/880hz_short.mp3,tone_number_task+empty_block+empty_block,s,1222.0,j,1286.0
2.0,26.0,tone_number_task,607.0,457.0,tones/440hz_short.mp3,veintidós,tones/440hz_short.mp3,tone_number_task+empty_block+empty_block,a,1403.0,j,2020.0
