"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","rt","stimulus","response"
"true","false","[]","[]","[]","preload","0","715","0.0-0.0","30","1","2023-10-31 21:00:40","a725c3012b74bf33a1020a98cb69c237","190.221.156.250","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-AR,es-419;q=0.9,es;q=0.8,en;q=0.7","","",""
"true","","","","","fullscreen","1","4706","0.0-1.0","30","1","2023-10-31 21:00:40","a725c3012b74bf33a1020a98cb69c237","190.221.156.250","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-AR,es-419;q=0.9,es;q=0.8,en;q=0.7","","",""
"","","","","","html-button-response","2","7124","0.0-2.0","30","1","2023-10-31 21:00:40","a725c3012b74bf33a1020a98cb69c237","190.221.156.250","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-AR,es-419;q=0.9,es;q=0.8,en;q=0.7","2416","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0"
