"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","rt","stimulus","response"
"true","false","[]","[]","[]","preload","0","12","0.0-0.0","13","1","2023-10-27 19:01:11","a725c3012b74bf33a1020a98cb69c237","45.71.5.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","WebKit","Chrome","117.0.0.0","Windows","10.0","null","es-ES,es;q=0.9","","",""
"true","","","","","fullscreen","1","5829","0.0-1.0","13","1","2023-10-27 19:01:11","a725c3012b74bf33a1020a98cb69c237","45.71.5.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","WebKit","Chrome","117.0.0.0","Windows","10.0","null","es-ES,es;q=0.9","","",""
"","","","","","html-button-response","2","8228","0.0-2.0","13","1","2023-10-27 19:01:11","a725c3012b74bf33a1020a98cb69c237","45.71.5.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","WebKit","Chrome","117.0.0.0","Windows","10.0","null","es-ES,es;q=0.9","2398","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0"
"","","","","","html-button-response","3","14948","0.0-3.0","13","1","2023-10-27 19:01:11","a725c3012b74bf33a1020a98cb69c237","45.71.5.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36","WebKit","Chrome","117.0.0.0","Windows","10.0","null","es-ES,es;q=0.9","6719","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0"
