"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","check","rt","stimulus","response","question_order","url","task","delay","number","audioFile","trial_duration","font_size","block","round"
"true","false","[]","[]","[]","preload","0","168","0.0-0.0","31","1","2023-10-31 21:00:45","a725c3012b74bf33a1020a98cb69c237","190.216.51.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es;q=0.8","true","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7069","0.0-1.0","31","1","2023-10-31 21:00:45","a725c3012b74bf33a1020a98cb69c237","190.216.51.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es;q=0.8","true","","","","","","","","","","","","",""
"","","","","","html-button-response","2","9694","0.0-2.0","31","1","2023-10-31 21:00:45","a725c3012b74bf33a1020a98cb69c237","190.216.51.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es;q=0.8","true","2623","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0","","","","","","","","","",""
"","","","","","html-button-response","3","19927","0.0-3.0","31","1","2023-10-31 21:00:45","a725c3012b74bf33a1020a98cb69c237","190.216.51.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es;q=0.8","true","10233","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0","","","","","","","","","",""
"","","","","","html-button-response","4","35053","0.0-4.0","31","1","2023-10-31 21:00:45","a725c3012b74bf33a1020a98cb69c237","190.216.51.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es;q=0.8","true","15125","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0","","","","","","","","","",""
"","","","","","audio-button-response","5","36886","0.0-5.0-0.0","31","1","2023-10-31 21:00:45","a725c3012b74bf33a1020a98cb69c237","190.216.51.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es;q=0.8","true","1824","tones/440hz_short.mp3","1","","","","","","","","","",""
"","","","","","audio-button-response","6","39429","0.0-6.0-0.0","31","1","2023-10-31 21:00:45","a725c3012b74bf33a1020a98cb69c237","190.216.51.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es;q=0.8","true","2539","tones/880hz_short.mp3","1","","","","","","","","","",""
"","","","","","survey-html-form","7","42766","0.0-7.0","31","1","2023-10-31 21:00:45","a725c3012b74bf33a1020a98cb69c237","190.216.51.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es;q=0.8","true","3334","","{""response"":""37""}","","","","","","","","","",""
"","","","","","survey-multi-choice","8","47903","0.0-8.0","31","1","2023-10-31 21:00:45","a725c3012b74bf33a1020a98cb69c237","190.216.51.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es;q=0.8","true","5136","","{""gender"":""Mujer"",""hand"":""Izquierda""}","[0,1]","","","","","","","","",""
"","","","","","external-html","9","123043","0.0-9.0","31","1","2023-10-31 21:00:45","a725c3012b74bf33a1020a98cb69c237","190.216.51.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es;q=0.8","true","74573","","","","instructions/instructions.html","","","","","","","",""
