"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","check","rt","stimulus","response","question_order","url","task","delay","number","audioFile","trial_duration","font_size","block","round"
"true","false","[]","[]","[]","preload","0","500","0.0-0.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","151293","0.0-1.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","","","","","","","","","","","","",""
"","","","","","html-button-response","2","152744","0.0-2.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","1449","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0","","","","","","","","","",""
"","","","","","html-button-response","3","156684","0.0-3.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","3939","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0","","","","","","","","","",""
"","","","","","html-button-response","4","159955","0.0-4.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","3270","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0","","","","","","","","","",""
"","","","","","audio-button-response","5","162711","0.0-5.0-0.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","1835","tones/440hz_short.mp3","1","","","","","","","","","",""
"","","","","","audio-button-response","6","163960","0.0-6.0-0.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","1248","tones/880hz_short.mp3","1","","","","","","","","","",""
"","","","","","survey-html-form","7","166526","0.0-7.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","2562","","{""response"":""32""}","","","","","","","","","",""
"","","","","","survey-multi-choice","8","171910","0.0-8.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","5382","","{""gender"":""Hombre"",""hand"":""Derecha""}","[0,1]","","","","","","","","",""
"","","","","","external-html","9","204273","0.0-9.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","32025","","","","instructions/instructions.html","","","","","","","",""
"","","","","","external-html","10","231685","0.0-10.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","27100","","","","instructions/animation.html","","","","","","","",""
"","","","","","html-keyboard-response","11","234681","0.0-11.0-0.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","null","<div style=""font-size:100px;"">X</div>","null","","","fixation","","","","","","",""
"","","","","","audio-keyboard-response","12","235834","0.0-11.0-1.0","41","1","2023-10-31 21:23:45","a725c3012b74bf33a1020a98cb69c237","24.232.44.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-US;q=0.8,es;q=0.7","true","null","tones/440hz_short.mp3","null","","","tone_number_task","1000","54","tones/440hz_short.mp3","1150","100","null","null"
