"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","rt","stimulus","response"
"true","false","[]","[]","[]","preload","0","456","0.0-0.0","10","1","2023-10-20 13:10:18","36476ce043e716bb3956d3c52bfa015e","181.167.70.46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9","","",""
"true","","","","","fullscreen","1","5993","0.0-1.0","10","1","2023-10-20 13:10:18","36476ce043e716bb3956d3c52bfa015e","181.167.70.46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9","","",""
"","","","","","html-button-response","2","8363","0.0-2.0","10","1","2023-10-20 13:10:18","36476ce043e716bb3956d3c52bfa015e","181.167.70.46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","es-ES,es;q=0.9","2369","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0"
