"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","rt","stimulus","response"
"true","false","[]","[]","[]","preload","0","470","0.0-0.0","56","1","2023-11-01 12:38:30","a725c3012b74bf33a1020a98cb69c237","181.9.133.108","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","es-AR,es-419;q=0.9,es;q=0.8","","",""
"true","","","","","fullscreen","1","4889","0.0-1.0","56","1","2023-11-01 12:38:30","a725c3012b74bf33a1020a98cb69c237","181.9.133.108","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","es-AR,es-419;q=0.9,es;q=0.8","","",""
"","","","","","html-button-response","2","7413","0.0-2.0","56","1","2023-11-01 12:38:30","a725c3012b74bf33a1020a98cb69c237","181.9.133.108","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","es-AR,es-419;q=0.9,es;q=0.8","2513","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0"
"","","","","","html-button-response","3","13397","0.0-3.0","56","1","2023-11-01 12:38:30","a725c3012b74bf33a1020a98cb69c237","181.9.133.108","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","es-AR,es-419;q=0.9,es;q=0.8","5982","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0"
