"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","rt","stimulus","response","question_order","url"
"true","false","[]","[]","[]","preload","0","46","0.0-0.0","70","1","2023-11-01 23:17:25","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.92 Mobile/15E148 Safari/604.1","iPhone","Chrome","118.0.5993.92","iOS","16_7","null","es-419,es;q=0.9","","","","",""
"true","","","","","fullscreen","1","2551","0.0-1.0","70","1","2023-11-01 23:17:25","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.92 Mobile/15E148 Safari/604.1","iPhone","Chrome","118.0.5993.92","iOS","16_7","null","es-419,es;q=0.9","","","","",""
"","","","","","html-button-response","2","5001","0.0-2.0","70","1","2023-11-01 23:17:25","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.92 Mobile/15E148 Safari/604.1","iPhone","Chrome","118.0.5993.92","iOS","16_7","null","es-419,es;q=0.9","2445","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0","",""
"","","","","","html-button-response","3","7667","0.0-3.0","70","1","2023-11-01 23:17:25","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.92 Mobile/15E148 Safari/604.1","iPhone","Chrome","118.0.5993.92","iOS","16_7","null","es-419,es;q=0.9","2662","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0","",""
"","","","","","html-button-response","4","9669","0.0-4.0","70","1","2023-11-01 23:17:25","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.92 Mobile/15E148 Safari/604.1","iPhone","Chrome","118.0.5993.92","iOS","16_7","null","es-419,es;q=0.9","2000","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0","",""
"","","","","","audio-button-response","5","15294","0.0-5.0-0.0","70","1","2023-11-01 23:17:25","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.92 Mobile/15E148 Safari/604.1","iPhone","Chrome","118.0.5993.92","iOS","16_7","null","es-419,es;q=0.9","5533","tones/440hz_short.mp3","1","",""
"","","","","","audio-button-response","6","25052","0.0-6.0-0.0","70","1","2023-11-01 23:17:25","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.92 Mobile/15E148 Safari/604.1","iPhone","Chrome","118.0.5993.92","iOS","16_7","null","es-419,es;q=0.9","9755","tones/880hz_short.mp3","1","",""
"","","","","","survey-html-form","7","31798","0.0-7.0","70","1","2023-11-01 23:17:25","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.92 Mobile/15E148 Safari/604.1","iPhone","Chrome","118.0.5993.92","iOS","16_7","null","es-419,es;q=0.9","6733","","{""response"":""27""}","",""
"","","","","","survey-multi-choice","8","41874","0.0-8.0","70","1","2023-11-01 23:17:25","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.92 Mobile/15E148 Safari/604.1","iPhone","Chrome","118.0.5993.92","iOS","16_7","null","es-419,es;q=0.9","10068","","{""gender"":""Mujer"",""hand"":""Derecha""}","[0,1]",""
"","","","","","external-html","9","182971","0.0-9.0","70","1","2023-11-01 23:17:25","a725c3012b74bf33a1020a98cb69c237","190.189.8.107","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.92 Mobile/15E148 Safari/604.1","iPhone","Chrome","118.0.5993.92","iOS","16_7","null","es-419,es;q=0.9","140488","","","","instructions/instructions.html"
